,trait,cell_type,raw_p_value_bin_0,oddratio_0,raw_p_value_bin_1,oddratio_1,raw_p_value_bin_2,oddratio_2,raw_p_value_bin_3,oddratio_3,raw_p_value_bin_4,oddratio_4,raw_p_value_bin_5,oddratio_5,raw_p_value_bin_6,oddratio_6,raw_p_value_bin_7,oddratio_7,raw_p_value_bin_8,oddratio_8,raw_p_value_bin_9,oddratio_9,raw_p_value_bin_10,oddratio_10,spearman_r,spearman_p_value,global_spearman_fdr_p_value,global_spearman_significant,fdr_p_value_bin_0,significance_bin_0,fdr_p_value_bin_1,significance_bin_1,fdr_p_value_bin_2,significance_bin_2,fdr_p_value_bin_3,significance_bin_3,fdr_p_value_bin_4,significance_bin_4,fdr_p_value_bin_5,significance_bin_5,fdr_p_value_bin_6,significance_bin_6,fdr_p_value_bin_7,significance_bin_7,fdr_p_value_bin_8,significance_bin_8,fdr_p_value_bin_9,significance_bin_9,fdr_p_value_bin_10,significance_bin_10
29,carcinoma,Pooled_epidermis,,,0.49131513647642683,inf,0.24076886041257733,inf,0.49131513647642683,inf,1.0,1.0355329949238579,,,,,1.0,0.0,,,0.6176201472541749,2.0816326530612246,0.6176201472541749,2.0816326530612246,-0.6549210399944798,0.11037071436374593,0.49666821463685673,False,,False,1.0,False,1.0,False,1.0,False,1.0,False,,False,,False,1.0,False,,False,1.0,False,1.0,False
30,carcinoma,Hepatocyte_Progenitor_(HP),0.4024375044027296,0.6865461436034006,0.522751859628621,1.4362592592592593,0.09579344029165443,2.5887333333333333,0.3856285492939574,0.5668708161230593,1.0,1.1037111037111038,0.2286197406755847,1.7694731768805843,0.3585705400221799,1.7051459037463703,0.6620280137441207,0.8119174434087882,0.09196191477739443,3.317793317793318,1.0,0.9930139720558883,0.3975972500339664,0.7786215790227826,0.07272727272727274,0.831716405381337,0.9980596864576043,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
31,carcinoma,Pancreatic_progenitor_(PP),0.7007983062338053,0.8140397350993378,0.1299368565229211,2.0417495029821073,1.0,0.9333554010813196,0.33197480906174615,0.5546475995914198,1.0,1.0185369083085072,0.8448583810101216,0.8724692526017029,0.3275322634341595,1.699757335098169,0.40443808723743013,0.6537025660413024,0.83013259706854,1.120754716981132,0.25842527680821237,1.7489120151371806,0.15992884041649408,0.6548001542218224,0.009090909090909092,0.9788365001441937,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
32,Muscular dystrophy,Skeletal_myocyte_(SKM),0.7252182138234659,1.3448504983388705,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
33,Muscular dystrophy,Cardiomyocyte_(CM),1.0,0.9592985450703081,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
34,Preeclampsia,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
35,Preeclampsia,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
36,Preeclampsia,Hepatocyte_Progenitor_(HP),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
37,Gout,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,1.0,0.6947723440134908,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False
38,Morning sickness,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
39,Morning sickness,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
40,Morning sickness,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
41,Scoliosis,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
42,Scoliosis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
43,Scoliosis,CNCCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
44,Scoliosis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
45,Scoliosis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
46,aneurysm,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
47,aneurysm,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
48,Bronchial asthma,Skeletal_myocyte_(SKM),1.0,1.0079575596816976,0.498019801980198,inf,0.24976416096545279,0.0,0.6233954837078891,2.017252820172528,0.6233954837078891,2.017252820172528,1.0,1.0079575596816976,0.6247640498391125,0.33554376657824936,,,0.498019801980198,inf,0.12339741472120351,inf,,,0.30779350562554625,0.4203843837896988,0.9374247594464477,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False,1.0,False,1.0,False,,False
49,Bronchial asthma,Pooled_epidermis,,,,,,,,,,,,,0.49131513647642683,inf,,,1.0,0.0,0.49131513647642683,inf,,,0.0,1.0,1.0,False,,False,,False,,False,,False,,False,,False,1.0,False,,False,1.0,False,1.0,False,,False
50,Bipolar disorder,Cortical_organoids_d50,1.0,1.0429159318048207,1.0,1.0428907168037602,0.2395467027086531,inf,0.11718980192908222,inf,1.0,1.0429159318048207,0.687643635535189,0.520870076425632,1.0,0.0,0.3751913150640441,0.2602820211515864,0.25011466978160757,0.0,0.5000764465210716,0.0,,,-0.8026067687913557,0.005194545988500761,0.0935018277930137,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
51,Bipolar disorder,Pancreatic_progenitor_(PP),0.6249402356940127,0.33927196744748706,0.12153921131961126,inf,0.3703632132265595,3.057444701221525,0.12149392534914674,5.099108027750248,0.4529942614747137,0.406996699669967,0.5076556088547575,0.5087487619676461,0.28443810964227045,2.5487281136438718,0.3749003928233548,0.2543714945562521,0.21438491818468297,4.077939233817702,0.4529942614747137,0.406996699669967,,,-0.23100410659842457,0.5207915330258043,0.9374247594464477,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
52,Bipolar disorder,Cortical_organoids_d100,1.0,1.0264808362369338,1.0,1.0264808362369338,1.0,1.0264808362369338,0.24342749542538325,inf,0.24987011514212912,0.0,1.0,0.6838679683867969,1.0,1.0264808362369338,0.6248701032399266,0.34169570267131244,0.12487011910952989,0.0,0.49991341009475276,0.0,,,-0.6968868015165987,0.025121342271885377,0.15072805363131228,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
53,Schizophrenia,Cortical_organoids_d50,1.0,0.5211515863689776,0.3646187591732358,3.1323529411764706,,,0.5000764465210716,0.0,,,0.6251147890384263,0.3472385428907168,0.2789536582597264,2.611896348645465,1.0,0.7817647058823529,0.2395467027086531,inf,0.6171853721203202,2.087007642563198,0.3646187591732358,3.1323529411764706,0.4769916229907622,0.19417917606506618,0.6990450338342382,False,1.0,False,1.0,False,,False,1.0,False,,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
54,Schizophrenia,Cortical_organoids_d100,0.24987011514212912,0.0,1.0,1.0264808362369338,,,1.0,0.0,0.49347079037800684,inf,0.37478350539987787,0.25609756097560976,0.6200339338391871,2.0543933054393304,0.368335279532225,3.0837404047452894,0.49347079037800684,inf,0.24342749542538325,inf,0.2124629936681035,4.114525139664805,0.7077760731311632,0.02202141379979965,0.15072805363131228,False,1.0,False,1.0,False,,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False
55,Ovarian polycystic syndrome (PCOS),Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
56,Ovarian polycystic syndrome (PCOS),Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
57,Ovarian polycystic syndrome (PCOS),Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
58,premature birth,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
59,iron deficiency,Pooled_epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
60,Frailty,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
61,Osteoarthritis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
62,Osteoarthritis,Pooled_fibroblasts,1.0,0.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,,,1.0,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,,False,,False
63,Osteoarthritis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
64,Osteoarthritis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
65,Osteoporosis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
66,Osteoporosis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
67,Osteoporosis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
