,trait,cell_type,raw_p_value_bin_0,oddratio_0,raw_p_value_bin_1,oddratio_1,raw_p_value_bin_2,oddratio_2,raw_p_value_bin_3,oddratio_3,raw_p_value_bin_4,oddratio_4,raw_p_value_bin_5,oddratio_5,raw_p_value_bin_6,oddratio_6,raw_p_value_bin_7,oddratio_7,raw_p_value_bin_8,oddratio_8,raw_p_value_bin_9,oddratio_9,raw_p_value_bin_10,oddratio_10,spearman_r,spearman_p_value,global_spearman_fdr_p_value,global_spearman_significant,fdr_p_value_bin_0,significance_bin_0,fdr_p_value_bin_1,significance_bin_1,fdr_p_value_bin_2,significance_bin_2,fdr_p_value_bin_3,significance_bin_3,fdr_p_value_bin_4,significance_bin_4,fdr_p_value_bin_5,significance_bin_5,fdr_p_value_bin_6,significance_bin_6,fdr_p_value_bin_7,significance_bin_7,fdr_p_value_bin_8,significance_bin_8,fdr_p_value_bin_9,significance_bin_9,fdr_p_value_bin_10,significance_bin_10
10,Inguinal hernia,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
11,Psoriasis,Keratinocytes,,,,,,,0.49098897614409076,1.6233003189524928,1.0,0.0,,,,,,,,,,,,,,,,,,False,,False,,False,1.0,False,1.0,False,,False,,False,,False,,False,,False,,False
12,Sleep apnea,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
13,Sleep apnea,Motor_neuron_(MN),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
14,Sleep apnea,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
15,Sleep apnea,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
16,Varicose veins,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
17,Hemorrhoids,Endothelial_not_treated,,,,,,,,,,,,,0.5433983844654691,0.5718633924886505,,,0.49747898250574674,0.435674496743199,,,,,,,,,,False,,False,,False,,False,,False,,False,1.0,False,,False,1.0,False,,False,,False
18,Hemorrhoids,Pooled_fibroblasts,,,,,,,,,,,,,0.6231604907261978,0.0,,,1.0,0.0,,,,,,,,,,False,,False,,False,,False,,False,,False,1.0,False,,False,1.0,False,,False,,False
19,sudden infant death syndrome,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
20,sudden infant death syndrome,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
21,Back Disorders,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
22,Back Disorders,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
23,Back Disorders,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
24,Back Disorders,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
25,Alzheimer's Disease,Motor_neuron_(MN),,,1.0,0.9416370106761566,0.4956471032309756,0.5229623772814127,,,,,,,,,,,,,0.7597416561563837,1.3081816983122363,1.0,0.7845986555950969,0.0,1.0,1.0,False,,False,1.0,False,1.0,False,,False,,False,,False,,False,,False,,False,1.0,False,,False
26,Alzheimer's Disease,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,0.18439122080044068,0.23656635358763017,0.7278472536252552,0.6086527794897079,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,,False
27,Alzheimer's Disease,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,0.0035120114595753034,12.223920677545962,0.27797525209131724,2.5443848059454997,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,0.20545267038515522,False,,False
28,Alzheimer's Disease,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,0.4600555276749112,0.34315916122378826,0.7080498796299994,1.3739250085999313,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,1.0,False,,False
29,carcinoma,Pooled_epidermis,0.6293288326809379,0.0,1.0,0.7309663802201115,0.3655512270519535,1.6126350789692436,1.0,0.8939561451999263,0.3216149912049781,1.7923709245405006,0.4062276679000835,0.0,0.6293288326809379,0.0,1.0,1.0060116086235489,0.6293288326809379,0.0,0.11514850964602312,2.6952777777777777,1.0,0.7944230769230769,0.15352989471574768,0.6522077974970912,0.916179175648979,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
30,carcinoma,Hepatocyte_Progenitor_(HP),0.547482752897207,1.2398171631215982,0.547482752897207,1.2398171631215982,0.7491519048067274,1.1105490467441361,0.37277487408448784,0.6778762889874,0.3131143301464042,1.4490576049999018,0.3142240660902761,1.3506828316610926,0.6347549434569391,1.172442047316755,0.5305015238894157,1.2343557305963322,0.15537679916210553,0.6005030516879649,0.41919813692715413,0.7247003839091971,0.6460576520875947,0.9114130627594281,-0.4692495090055514,0.14536428316352717,0.4360928494905815,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
31,carcinoma,Pancreatic_progenitor_(PP),0.012607531819072378,2.2488921713441656,0.3543773034850236,1.3305459911460895,0.16794153284207788,1.5308184352960472,0.7412870325591245,1.1303621169916434,0.07116225973553235,1.8309281731715317,0.19266971340434141,1.504958547965925,0.8675023675381763,1.0636959370904324,0.15916972362875426,1.6115863712093093,0.44426017332396606,1.2699101193936413,1.0,0.9714044355906346,0.8544299884975078,0.9545508344182744,-0.6545454545454547,0.028864598957001886,0.34637518748402263,False,0.49169374094382273,False,1.0,False,1.0,False,1.0,False,0.9669037905273968,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
32,Muscular dystrophy,Skeletal_myocyte_(SKM),0.10712510336525413,0.5101402071299524,,,,,,,,,,,,,,,,,,,,,,,,,1.0,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
33,Muscular dystrophy,Cardiomyocyte_(CM),0.0010390698719519088,2.421293776084195,,,,,,,,,,,,,,,,,,,,,,,,,0.12157117501837332,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
34,Preeclampsia,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
35,Preeclampsia,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
36,Preeclampsia,Hepatocyte_Progenitor_(HP),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
37,Gout,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,0.33186619208972545,1.9080305532617672,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
38,Morning sickness,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
39,Morning sickness,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
40,Morning sickness,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
41,Scoliosis,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
42,Scoliosis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
43,Scoliosis,CNCCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
44,Scoliosis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
45,Scoliosis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
46,aneurysm,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
47,aneurysm,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
48,Bronchial asthma,Skeletal_myocyte_(SKM),0.5490056732759694,0.5422721268163805,0.47800254320194646,0.3795972268075272,1.0,0.8136769078295342,1.0,0.9494549058473737,0.7408633922044853,1.1395441030723488,1.0,1.0852047556142668,0.5319991712773213,1.38160187466202,0.05239663020795528,0.0,0.6953617887447812,0.47457906899966984,1.0,0.9494549058473737,,,0.11550205329921229,0.750683041040583,0.916179175648979,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9669037905273968,False,1.0,False,1.0,False,,False
49,Bronchial asthma,Pooled_epidermis,1.0,0.0,1.0,0.0,1.0,0.0,,,1.0,0.0,1.0,0.0,0.36022823295968426,2.417910447761194,1.0,0.0,,,0.43364924980664565,1.8593570608495982,,,0.5923057020691221,0.1218345136276983,0.4360928494905815,False,1.0,False,1.0,False,1.0,False,,False,1.0,False,1.0,False,1.0,False,1.0,False,,False,1.0,False,,False
50,Bipolar disorder,Cortical_organoids_d50,0.4793439200687274,1.7056690647482013,0.7278472536252552,0.6086527794897079,0.35983782259926045,0.4258843830888697,0.766690954630719,0.6390103567318757,1.0,1.0656115107913668,0.3968523107178442,1.599337748344371,0.07437721465595361,0.1773528847996933,0.3441038227916595,1.7770101707925543,1.0,0.7989787111622555,0.35983782259926045,0.4258843830888697,,,-0.10942299786241164,0.7634826463741492,0.916179175648979,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9669037905273968,False,1.0,False,1.0,False,1.0,False,,False
51,Bipolar disorder,Pancreatic_progenitor_(PP),0.767161160468778,0.7595066803699897,0.7408274975083508,0.6645414418832761,0.5722901244854446,0.6644865925441465,1.0,0.8861629048086359,0.6497135551553133,0.7752331097660723,1.0,1.0878296960771188,1.0,1.0340258465565189,0.7881037248638463,0.830744071954211,0.6040027128030125,0.66443172526574,0.5768398466240521,1.551611320137412,,,0.406060606060606,0.24428229408662638,0.5862775058079033,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
52,Bipolar disorder,Cortical_organoids_d100,1.0,0.7847317744154058,1.0,0.7847317744154058,0.5340375980260205,0.49912467175190695,0.5340375980260205,0.49912467175190695,1.0,0.8239422084623323,0.7864953436559748,1.1448651749856569,0.5340375980260205,0.49912467175190695,0.7560590211596642,1.22122811042288,0.5331876975146985,1.3740536820371645,0.7440388091586205,0.5491059147180193,,,0.3323470256441984,0.3481105026123388,0.6962210052246776,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
53,Schizophrenia,Cortical_organoids_d50,0.14804934355494404,0.3755330670818385,0.33919664779979275,0.5322302158273381,0.061682758568764776,0.0,1.0,0.7101907774901736,0.061682758568764776,0.0,0.6057894606774801,0.6553182069728832,1.0,0.8772533206831119,0.8115184757580755,1.1477977667493797,0.5180851707169524,0.5324992809893586,0.2985074424094514,0.45618938024001315,1.0,1.0656115107913668,0.5284751751907181,0.09467273983443358,0.4360928494905815,False,1.0,False,1.0,False,0.9669037905273968,False,1.0,False,0.9669037905273968,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
54,Schizophrenia,Cortical_organoids_d100,0.4356442714261197,0.5145768833849329,0.18362854672467555,0.34293328748280605,0.12430118112239488,0.0,0.6902629001716368,0.3922310072189756,0.6902629001716368,0.3922310072189756,0.7772907934207951,1.2491002972930685,0.11453185534479865,0.3739562810770241,0.4736262686423605,0.6099258239657414,0.3072945570875811,0.3049921698941981,0.26983342997075643,0.3658413571756075,0.32354855914808767,1.963855421686747,0.23234684426488467,0.4917654140586254,0.8430264241005007,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
55,Ovarian polycystic syndrome (PCOS),Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
56,Ovarian polycystic syndrome (PCOS),Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
57,Ovarian polycystic syndrome (PCOS),Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
58,premature birth,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
59,iron deficiency,Pooled_epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
60,Frailty,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
61,Osteoarthritis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
62,Osteoarthritis,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
63,Osteoarthritis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
64,Osteoarthritis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
65,Osteoporosis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
66,Osteoporosis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
67,Osteoporosis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
