,trait,cell_type,raw_p_value_bin_0,oddratio_0,raw_p_value_bin_1,oddratio_1,raw_p_value_bin_2,oddratio_2,raw_p_value_bin_3,oddratio_3,raw_p_value_bin_4,oddratio_4,raw_p_value_bin_5,oddratio_5,raw_p_value_bin_6,oddratio_6,raw_p_value_bin_7,oddratio_7,raw_p_value_bin_8,oddratio_8,raw_p_value_bin_9,oddratio_9,raw_p_value_bin_10,oddratio_10,spearman_r,spearman_p_value,global_spearman_fdr_p_value,global_spearman_significant,fdr_p_value_bin_0,significance_bin_0,fdr_p_value_bin_1,significance_bin_1,fdr_p_value_bin_2,significance_bin_2,fdr_p_value_bin_3,significance_bin_3,fdr_p_value_bin_4,significance_bin_4,fdr_p_value_bin_5,significance_bin_5,fdr_p_value_bin_6,significance_bin_6,fdr_p_value_bin_7,significance_bin_7,fdr_p_value_bin_8,significance_bin_8,fdr_p_value_bin_9,significance_bin_9,fdr_p_value_bin_10,significance_bin_10
15,Sleep apnea,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
16,Varicose veins,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
17,Hemorrhoids,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
18,Hemorrhoids,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
19,sudden infant death syndrome,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
20,sudden infant death syndrome,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
21,Back Disorders,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
22,Back Disorders,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
23,Back Disorders,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
24,Back Disorders,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
25,Alzheimer's Disease,Motor_neuron_(MN),0.6197342719421048,1.3956945269037095,0.700365606743155,1.1775103980986334,0.25415474222890116,0.5226793248945147,0.0049345877521287836,2.860904221745325,0.07736221614085326,2.270250044021835,1.0,1.0463934534415626,0.24362098404825616,1.7453089597219473,0.4314304493322036,0.5703705035324572,1.0,0.9808701247277767,0.4125516621784895,1.4497920380273321,1.0,0.7845986555950969,-0.20000000000000004,0.5554454421055854,0.8331681631583782,False,1.0,False,1.0,False,0.9912034946927146,False,0.19244892233302258,False,0.7881646524444135,False,1.0,False,0.9912034946927146,False,1.0,False,1.0,False,1.0,False,,False
26,Alzheimer's Disease,Cortical_organoids_d50,0.08083740025070907,2.371801031357099,0.5204930061125405,0.7098569920337844,1.0,1.0656682027649769,0.6775459407457536,0.7846986417657046,0.4567875251410142,0.6084275436793423,0.1791125215256932,0.44801211662249146,0.8193884851396473,0.8521739130434782,1.0,0.7989787111622555,0.20779177341347244,0.5066891465855197,0.2985074424094514,0.45618938024001315,0.7278472536252552,0.6086527794897079,-0.5454545454545455,0.08265095734417506,0.37192930804878777,False,0.7881646524444135,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9912034946927146,False,1.0,False,1.0,False,0.9912034946927146,False,1.0,False,,False
27,Alzheimer's Disease,Endothelial_not_treated,0.1850058467425716,2.03594298698616,0.3658794058946806,1.5267617276296757,0.8184448976560728,1.1097631969352688,0.5732217247239852,1.240255376344086,1.0,0.9708422515113965,0.2527085233629329,0.5080511973575558,0.3658794058946806,1.5267617276296757,0.4301856960364535,0.5544234918847922,0.13339155431407226,1.9860215053763441,0.8101725780085447,1.2209047717413757,0.27797525209131724,2.5443848059454997,0.05922566618516668,0.8626730467279877,0.9364140213290887,False,0.9912034946927146,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9912034946927146,False,1.0,False,1.0,False,0.8670451030414696,False,1.0,False,,False
28,Alzheimer's Disease,Cortical_organoids_d100,1.0,1.056666225340924,0.05786479540772217,0.26111875286565794,0.6188654742692568,0.6863386097728836,0.056299307405877366,0.31626577756608715,0.7948378513081058,0.7845836200963524,0.2281172560446325,0.4331649557329857,0.43182446174940364,0.5489508083935328,1.0,1.0301857585139318,0.6472563882192583,0.7224386266871999,0.7948378513081058,0.7845836200963524,0.7080498796299994,1.3739250085999313,0.4054680223446026,0.21601578652600828,0.50145378780042,False,1.0,False,0.7522423403003882,False,1.0,False,0.7522423403003882,False,1.0,False,0.9912034946927146,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
29,carcinoma,Pooled_epidermis,1.0,0.0,1.0,0.0,1.0,0.0,0.45620477429799083,1.7263681592039801,0.047198674892696336,6.927680798004988,0.43364924980664565,1.8593570608495982,1.0,0.0,1.0,0.0,0.36022823295968426,2.417910447761194,1.0,0.0,1.0,0.7944230769230769,0.20322945480961002,0.5489430622924165,0.8331681631583782,False,1.0,False,1.0,False,1.0,False,1.0,False,0.7522423403003882,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
30,carcinoma,Hepatocyte_Progenitor_(HP),0.45066248298977907,0.5884090909090909,1.0,1.0362514590628649,0.11518317271620906,0.43127777777777776,0.6679407914748643,1.2957957957957957,0.7733140263757459,1.2955492582097017,0.29719966255891783,1.9442961974649766,1.0,0.9714119019836639,0.7886591060818329,1.2955985328442814,1.0,0.9714119019836639,0.7656819930383366,0.7399719094436642,0.6460576520875947,0.9114130627594281,0.027334922854692318,0.9364140213290887,0.9364140213290887,False,1.0,False,1.0,False,0.8670451030414696,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,1.0,False,,False
31,carcinoma,Pancreatic_progenitor_(PP),0.030008492027079246,0.2655223148602256,0.8258862450060526,0.8861256544502618,1.0,1.0636125654450261,0.38956490134133315,0.6199574676918044,1.0,0.9970559371933267,0.2001242893013255,1.995581737849779,0.13281519558495375,2.2176759410801963,1.0,0.8861629048086359,0.5768398466240521,1.551611320137412,1.0,0.9495386053031188,0.8544299884975078,0.9545508344182744,0.4000000000000001,0.22286835013352002,0.50145378780042,False,0.7522423403003882,False,1.0,False,1.0,False,1.0,False,1.0,False,0.9912034946927146,False,0.8670451030414696,False,1.0,False,1.0,False,1.0,False,,False
32,Muscular dystrophy,Skeletal_myocyte_(SKM),0.10712510336525413,0.5101402071299524,,,,,,,,,,,,,,,,,,,,,,,,,0.8670451030414696,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
33,Muscular dystrophy,Cardiomyocyte_(CM),0.0010390698719519088,2.421293776084195,,,,,,,,,,,,,,,,,,,,,,,,,0.08104745001224889,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
34,Preeclampsia,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
35,Preeclampsia,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
36,Preeclampsia,Hepatocyte_Progenitor_(HP),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
37,Gout,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,0.33186619208972545,1.9080305532617672,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
38,Morning sickness,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
39,Morning sickness,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
40,Morning sickness,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
41,Scoliosis,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
42,Scoliosis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
43,Scoliosis,CNCCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
44,Scoliosis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
45,Scoliosis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
46,aneurysm,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
47,aneurysm,Endothelial_not_treated,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
48,Bronchial asthma,Skeletal_myocyte_(SKM),,,,,,,,,,,,,0.6752581923232217,1.2661822985468956,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,1.0,False,,False,,False,,False,,False
49,Bronchial asthma,Pooled_epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
50,Bipolar disorder,Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
51,Bipolar disorder,Pancreatic_progenitor_(PP),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
52,Bipolar disorder,Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
53,Schizophrenia,Cortical_organoids_d50,1.0,1.0655926352128884,0.7353772844615807,1.421199040767386,,,0.7160020473311193,1.2788837744533947,,,,,,,,,,,,,1.0,1.0656115107913668,0.19999999999999998,0.8,0.9364140213290887,False,1.0,False,1.0,False,,False,1.0,False,,False,,False,,False,,False,,False,,False,,False
54,Schizophrenia,Cortical_organoids_d100,,,1.0,0.686554332874828,,,1.0,0.9156350298028427,,,,,,,,,,,,,0.32354855914808767,1.963855421686747,1.0,0.0,0.0,True,,False,1.0,False,,False,1.0,False,,False,,False,,False,,False,,False,,False,,False
55,Ovarian polycystic syndrome (PCOS),Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
56,Ovarian polycystic syndrome (PCOS),Cortical_organoids_d50,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
57,Ovarian polycystic syndrome (PCOS),Cortical_organoids_d100,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
58,premature birth,iPSCs,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
59,iron deficiency,Pooled_epidermis,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
60,Frailty,Skeletal_myocyte_(SKM),,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
61,Osteoarthritis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
62,Osteoarthritis,Pooled_fibroblasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
63,Osteoarthritis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
64,Osteoarthritis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
65,Osteoporosis,9_Chondrocytes,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
66,Osteoporosis,4_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
67,Osteoporosis,8_Also_Prechondral_Mesenchyme,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False,,False
